,loss,mean_squared_error,auc,val_loss,val_mean_squared_error,val_auc
0,0.7019183039665222,0.2539399266242981,0.4997938573360443,0.6938071846961975,0.25032922625541687,0.501351535320282
1,0.6956210136413574,0.2511930465698242,0.5000209808349609,0.693750262260437,0.2503000795841217,0.5012677907943726
2,0.6941318511962891,0.2504819333553314,0.5041911602020264,0.6935306787490845,0.2501915991306305,0.5038366317749023
3,0.6937522888183594,0.2503013014793396,0.5014343857765198,0.693256676197052,0.2500549852848053,0.501907467842102
4,0.6935158371925354,0.25018349289894104,0.5012328028678894,0.6930892467498779,0.24997073411941528,0.5046812891960144
5,0.12487591803073883,0.04196084663271904,0.9879149794578552,0.008423511870205402,0.0021446384489536285,0.9997369647026062
6,0.01373248640447855,0.0032614709343761206,0.9995490312576294,0.005507799796760082,0.0014196281554177403,0.9998970031738281
7,0.011135302484035492,0.0028302031569182873,0.99971604347229,0.004435694310814142,0.0012345496797934175,0.9999399781227112
8,0.009945560246706009,0.002616012003272772,0.9997975826263428,0.004888209514319897,0.0013787677744403481,0.9999032616615295
9,0.008501141332089901,0.0021969988010823727,0.9997389316558838,0.013722427189350128,0.0038311316166073084,0.9996674060821533
